id|nombre|apellido1|apellido2|rut|direccion|celular|nacimiento|sexoId|usuarioId|regionId|provincixId|comunaId|createdAt|updatedAt
76|Sebastián Miguel|Rojas|Vásquez|25137936-K|Clentaru 1224|56940271643|2016-01-28|1|201|7|23|109|2023-09-24|2023-09-24
77|Iván Camilo|Rojas|Orellana|25153202-8|Avenida Portales 1579|56946330084|2016-02-16|1|202|7|23|109|2023-09-24|2023-09-24
78|Valentina Aroha|Tapia|Riquelme|25336832-2|Avenida Santa Rosa 416|56978080726|2016-09-26|2|203|7|23|109|2023-09-24|2023-09-24
79|Patricio Rubén|Molina|Morales|25383619-9|Madrid 1197|56943665742|2016-11-22|1|204|7|23|109|2023-09-24|2023-09-24
80|Anaís Zoe|Venegas|Orellana|25139569-1|Fábrica 620|56993205240|2016-01-30|2|205|7|23|109|2023-09-24|2023-09-24
81|Nerea Salomé|Jara|Cortés|25172024-K|Tres Puntas 229|56927746941|2016-03-09|2|206|7|23|109|2023-09-24|2023-09-24
82|Brisa Clara|Guerrero|Vera|25173057-1|Barcelona 789|56976669354|2016-03-11|2|207|7|23|109|2023-09-24|2023-09-24
83|Omar Oliver|Jara|Hernández|25232344-9|General González Balcarce 1625|56981536980|2016-05-22|1|208|7|23|109|2023-09-24|2023-09-24
84|Íñigo Mateo|Rivera|Bustos|25143529-4|Jaime Eyzaguirre 875|56966453631|2016-02-04|1|209|7|23|109|2023-09-24|2023-09-24
85|Laura Yasna|Farias|Espinoza|25222718-0|Allende 845|56941219098|2016-05-10|2|210|7|23|109|2023-09-24|2023-09-24
86|Zahir Ismael|Salazar|Toro|25318814-6|Conferencia 731|56951989218|2016-09-04|1|211|7|23|109|2023-09-24|2023-09-24
87|Rafael Isidoro|Vergara|Flores|25126955-6|Nicanor De La Sotta 816|56971461810|2016-01-15|1|212|7|23|109|2023-09-24|2023-09-24
88|Arantxa Victoria|Herrera|Alvarado|25292734-4|María Teresa 857|56973055369|2016-08-04|2|213|7|23|109|2023-09-24|2023-09-24
89|Karla Javiera|Navarrete|Sánchez|25352406-5|Correa Errázuriz 1539|56982232152|2016-10-15|2|214|7|23|109|2023-09-24|2023-09-24
90|Constanza Sara|Sáez|Araya|25128124-6|Pasaje Espineira 1581|56944720869|2016-01-16|2|215|7|23|109|2023-09-24|2023-09-24
91|Santiago Enrique|Acevedo|Escobar|25274823-7|Artemio Gutierrez 30|56952650248|2016-07-13|1|216|7|23|109|2023-09-24|2023-09-24
92|Juan Samuel|Bravo|Vargas|25152055-0|Fray Camilo Henríquez 1335|56930292902|2016-02-14|1|217|7|23|109|2023-09-24|2023-09-24
93|Vania Elisa|Acevedo|Salazar|25194341-9|Catedral 1687|56981483123|2016-04-06|2|218|7|23|109|2023-09-24|2023-09-24
94|Franco Alonso|Jiménez|Jara|25187423-9|Angamos 1800|56973179813|2016-03-28|1|219|7|23|109|2023-09-24|2023-09-24
95|Kevin Sebastián|Fuentes|Hernández|25316985-0|Rosaura Acuña 1346|56979164402|2016-09-02|1|220|7|23|109|2023-09-24|2023-09-24
96|Estefanía Nicole|Salinas|Vega|25118423-2|Raimundo Larraín 915|56970507215|2016-01-04|2|221|7|23|109|2023-09-24|2023-09-24
97|Marco Brian|Zúñiga|Zúñiga|25363307-7|Monjitas 1313|56998337510|2016-10-29|1|222|7|23|109|2023-09-24|2023-09-24
98|Nicolao Roberto|González|Aravena|25131091-2|Santiago Concha 1714|56921449859|2016-01-20|1|223|7|23|109|2023-09-24|2023-09-24
99|Miguel Gabriel|Morales|Castro|25121345-3|General Jarpa 921|56994317954|2016-01-08|1|224|7|23|109|2023-09-24|2023-09-24
100|Damián Xander|Torres|Carrasco|25142723-2|Las Encinas 413|56993947433|2016-02-03|1|225|7|23|109|2023-09-24|2023-09-24
101|Rosario Nerea|Riquelme|Yáñez|24898474-0|Pinto Cicarelli 1681|56995366401|2015-04-11|2|251|7|23|109|2023-09-24|2023-09-24
102|David Joaquín|Godoy|Olivares|25047787-2|Juan Fernández Blanco 136|56973705036|2015-10-10|1|252|7|23|109|2023-09-24|2023-09-24
103|Javiera Diana|Ortega|Cortés|25039265-6|Fábrica 177|56973202981|2015-09-30|2|253|7|23|109|2023-09-24|2023-09-24
104|Xander Andrés|Bustamente|Sepúlveda|25108437-8|Fábrica 754|56930733081|2015-12-23|1|254|7|23|109|2023-09-24|2023-09-24
105|Azul Paola|Sepúlveda|Navarrete|24869091-7|Agustín Edwards 288|56972689552|2015-03-06|2|255|7|23|109|2023-09-24|2023-09-24
106|Layla Aitana|Leiva|Escobar|25008411-0|Placer 684|56986877958|2015-08-23|2|256|7|23|109|2023-09-24|2023-09-24
107|Lorenzo Omar|Fernández|Acuña|25004907-2|Manuel Antonio Tocomal 1607|56947772653|2015-08-19|1|257|7|23|109|2023-09-24|2023-09-24
108|Jair Brian|Garrido|Figueroa|24853742-6|Domeyko 1696|56979547701|2015-02-16|1|258|7|23|109|2023-09-24|2023-09-24
109|Mía Brisa|Bustamente|Valenzuela|24847981-7|Padre Luis de Valdivia 930|56920445750|2015-02-09|2|259|7|23|109|2023-09-24|2023-09-24
110|Jaime Ignacio|Araya|González|25009179-6|Pasaje Aguirre 89|56947151009|2015-08-24|1|260|7|23|109|2023-09-24|2023-09-24
111|Ximena Sofía|Rivera|Jara|25038972-8|Las Sophoras 361|56948029785|2015-09-29|2|261|7|23|109|2023-09-24|2023-09-24
112|Nerea Sol|Flores|Medina|25109959-6|Rogelio Ugarte 221|56926965155|2015-12-25|2|262|7|23|109|2023-09-24|2023-09-24
113|Estefanía Emma|Moreno|Maldonado|24903172-0|Los Nardos 169|56959667759|2015-04-17|2|263|7|23|109|2023-09-24|2023-09-24
114|Sofía Martina|Farias|Rojas|24966313-1|Las Sophoras 630|56935621205|2015-07-03|2|264|7|23|109|2023-09-24|2023-09-24
115|Liam Simón|Fuentes|Bustamente|24841391-3|Pasaje La Raza 1835|56930944927|2015-02-01|1|265|7|23|109|2023-09-24|2023-09-24
116|Blanca Kiara|Saavedra|Salazar|25012705-7|Pasaje 4 1769|56963087217|2015-08-28|2|266|7|23|109|2023-09-24|2023-09-24
117|Miguel Nicolás|Araya|Godoy|25011740-K|Pasaje Los Suspiros 1230|56993037981|2015-08-27|1|267|7|23|109|2023-09-24|2023-09-24
118|Matías Gael|Salinas|Vidal|24864892-9|El Arrayan 491|56992715299|2015-03-01|1|268|7|23|109|2023-09-24|2023-09-24
119|Ramiro Tobías|Carvajal|Pérez|25092488-7|San Dionisio 1773|56935501779|2015-12-04|1|269|7|23|109|2023-09-24|2023-09-24
120|Laura Alexa|Herrera|Lagos|25012775-8|Lord Cochrane 1734|56941301712|2015-08-28|2|270|7|23|109|2023-09-24|2023-09-24
121|Maximiliano Gael|Leiva|Moreno|24860006-3|Avellanos 321|56975756929|2015-02-23|1|271|7|23|109|2023-09-24|2023-09-24
122|Celia Paulina|Tapia|Leiva|24926010-K|Loncomilla 1407|56947005011|2015-05-15|2|272|7|23|109|2023-09-24|2023-09-24
123|Sol Blanca|Muñoz|Moreno|25064563-5|Virginia Opazo 717|56948512158|2015-10-31|2|273|7|23|109|2023-09-24|2023-09-24
124|Alexandra Sofía|Campos|Díaz|25044858-9|Mac Clure 1781|56950197926|2015-10-07|2|274|7|23|109|2023-09-24|2023-09-24
125|Bruno Orlando|Cáceres|Henríquez|25054444-8|Pasaje Aromos 264|56962442451|2015-10-18|1|275|7|23|109|2023-09-24|2023-09-24
126|Benjamín Benjamín|Pino|Cáceres|25048962-5|Estado 644|56916273997|2015-10-12|1|301|7|23|109|2023-09-24|2023-09-24
127|Catalina Nerea|Silva|Orellana|25039162-5|Lima 165|56969559774|2015-09-30|2|302|7|23|109|2023-09-24|2023-09-24
128|Derek Daniel|Rodríguez|Sandoval|24930227-9|Teresa Clark 566|56997322665|2015-05-20|1|303|7|23|109|2023-09-24|2023-09-24
129|Débora Vania|Leiva|Jiménez|24939983-3|Pedro León Ugalde 1329|56947943448|2015-06-01|2|304|7|23|109|2023-09-24|2023-09-24
130|Ricardo Paulo|Alvarado|Gutiérrez|24826360-1|Oriente 879|56973715313|2015-01-13|1|305|7|23|109|2023-09-24|2023-09-24
131|Alexandra Constanza|Martínez|Acuña|25043105-8|Merced 1085|56919995408|2015-10-04|2|306|7|23|109|2023-09-24|2023-09-24
132|Constanza Yasna|Bravo|Torres|24990687-5|Eduardo Matte 1071|56960103514|2015-08-02|2|307|7|23|109|2023-09-24|2023-09-24
133|Jeremy Federico|Riquelme|Navarro|24971644-8|Manuel Rodríguez Sur 1484|56942639919|2015-07-09|1|308|7|23|109|2023-09-24|2023-09-24
134|Germán Isaac|Alvarado|Rivera|25004819-K|Ventura Lavalle 87|56949198161|2015-08-19|1|309|7|23|109|2023-09-24|2023-09-24
135|Andrés León|Ortiz|Vásquez|25092033-4|Santa Margarita 504|56914998628|2015-12-03|1|310|7|23|109|2023-09-24|2023-09-24
136|Jorge Bautista|Zúñiga|Aravena|24973212-5|Avenida Portugal 1928|56980548657|2015-07-11|1|311|7|23|109|2023-09-24|2023-09-24
137|Jhon Derek|Alarcón|Ramírez|25100861-2|Gran Avenida José Miguel Carrera 1205|56931406790|2015-12-14|1|312|7|23|109|2023-09-24|2023-09-24
138|Agustín Néstor|Saavedra|Díaz|24933500-2|Guardian Juan Viedra 977|56962227515|2015-05-24|1|313|7|23|109|2023-09-24|2023-09-24
139|Samuel Kevin|Yáñez|López|24949571-9|Los Retamos 1152|56973817979|2015-06-12|1|314|7|23|109|2023-09-24|2023-09-24
140|Magdalena Jimena|Fuentes|Ramírez|24918819-0|Pasaje Espineira 842|56938939597|2015-05-06|2|315|7|23|109|2023-09-24|2023-09-24
141|Tamara Belén|Ortiz|Martínez|24852025-6|Avenida Portugal 1155|56948906325|2015-02-14|2|316|7|23|109|2023-09-24|2023-09-24
142|Belén Julieta|Carrasco|López|25044244-0|Las Acacias 1313|56982615983|2015-10-06|2|317|7|23|109|2023-09-24|2023-09-24
143|Karla Isabella|Leiva|Sáez|25103472-9|Pasaje Nueva 2 1210|56981457738|2015-12-17|2|318|7|23|109|2023-09-24|2023-09-24
144|Diego Francisco|Gutiérrez|Fuentes|25006190-0|Blanco Cuartin 382|56923840934|2015-08-20|1|319|7|23|109|2023-09-24|2023-09-24
145|Marco Lucca|Ruiz|Vergara|25040034-9|Puerta de Vera 1399|56960301660|2015-10-01|1|320|7|23|109|2023-09-24|2023-09-24
146|Cristian Nehemías|Cárdenas|Lagos|25063682-2|San Isidro 1939|56969482888|2015-10-29|1|321|7|23|109|2023-09-24|2023-09-24
147|Ivanna Paloma|Bravo|Campos|25015333-3|Tarapacá 1469|56927939578|2015-09-01|2|322|7|23|109|2023-09-24|2023-09-24
148|Ximena Kiara|Olivares|Escobar|25062283-K|Pasaje Castillo 412|56945835207|2015-10-28|2|323|7|23|109|2023-09-24|2023-09-24
149|Florencia Sol|Aguilera|Moreno|25102871-0|Pasaje Lord Cochrane 304|56959222675|2015-12-16|2|324|7|23|109|2023-09-24|2023-09-24
150|Orlando Omar|Álvarez|Cárdenas|24825741-5|San Rafael 760|56959159885|2015-01-13|1|325|7|23|109|2023-09-24|2023-09-24
151|Alba Valentina|Carrasco|Henríquez|24755214-6|Sierra Bella 1335|56937584220|2014-10-19|2|351|7|23|109|2023-09-24|2023-09-24
152|Hernán Rafael|Rivera|Poblete|24561942-1|Vichuquén 450|56976424948|2014-02-25|1|352|7|23|109|2023-09-24|2023-09-24
153|Yasna Luisa|Salinas|Ramírez|24813627-8|Tucapel 1186|56936593023|2014-12-29|2|353|7|23|109|2023-09-24|2023-09-24
154|Samuel Gaspar|Díaz|Álvarez|24635241-0|Chacabuco 1779|56998910758|2014-05-25|1|354|7|23|109|2023-09-24|2023-09-24
155|Josefina Penélope|López|Bustamente|24786235-8|Nueva Centenario 434|56931226113|2014-11-25|2|355|7|23|109|2023-09-24|2023-09-24
156|Mía Jimena|Maldonado|Lagos|24660584-K|Avenida Libertador Bernardo O'Higgins 143|56978470965|2014-06-25|2|356|7|23|109|2023-09-24|2023-09-24
157|Ismael Julián|Guerrero|Muñoz|24663054-2|San Martin 899|56931246145|2014-06-28|1|357|7|23|109|2023-09-24|2023-09-24
158|Ismael Julián|Cárdenas|Castillo|24624926-1|Roberto Espinoza 876|56917163297|2014-05-13|1|358|7|23|109|2023-09-24|2023-09-24
159|Jaime Mateo|Cáceres|Poblete|24609710-0|Maturana 1195|56952275866|2014-04-24|1|359|7|23|109|2023-09-24|2023-09-24
160|Valentina Alejandra|Molina|Jiménez|24704644-5|Pasaje Catalan 689|56920003102|2014-08-18|2|360|7|23|109|2023-09-24|2023-09-24
161|Roberto Joshua|Navarrete|Henríquez|24711845-4|Atacama 1500|56983506073|2014-08-27|1|361|7|23|109|2023-09-24|2023-09-24
162|Karina Brisa|Guzmán|Valdés|24618286-8|Maipú 542|56991780952|2014-05-05|2|362|7|23|109|2023-09-24|2023-09-24
163|Daniel Andrés|Salinas|González|24616820-2|Íñiquez 761|56960035743|2014-05-03|1|363|7|23|109|2023-09-24|2023-09-24
164|Ramiro Isaac|Venegas|Sepúlveda|24582135-2|Mario Kreutzberger 313|56910950312|2014-03-22|1|364|7|23|109|2023-09-24|2023-09-24
165|Ignacio Camilo|Sánchez|Herrera|24586939-8|París 492|56932523554|2014-03-28|1|365|7|23|109|2023-09-24|2023-09-24
166|Franco Agustín|Sánchez|Parra|24673252-3|Melipilla 432|56986875515|2014-07-11|1|366|7|23|109|2023-09-24|2023-09-24
167|Amelia Alexa|Bustos|Molina|24547645-0|Avenida Almirante Blanco Encalada 1934|56964038164|2014-02-08|2|367|7|23|109|2023-09-24|2023-09-24
168|Néstor Marcelo|Carrasco|Zúñiga|24610173-6|Pasaje Delfina 489|56911735052|2014-04-25|1|368|7|23|109|2023-09-24|2023-09-24
169|Paulina Giovanna|González|Carrasco|24641201-4|Almirante Barroso 1079|56975623981|2014-06-02|2|369|7|23|109|2023-09-24|2023-09-24
170|Anaís Emma|Henríquez|Aguilera|24697913-8|Los Tulipanes 625|56987710490|2014-08-10|2|370|7|23|109|2023-09-24|2023-09-24
171|Antonella Dominique|Acuña|Jara|24570907-2|Marina de Gaete 855|56935358518|2014-03-08|2|371|7|23|109|2023-09-24|2023-09-24
172|Samantha Valentina|Sáez|Acuña|24573624-K|Ventura Lavalle 1643|56984222455|2014-03-11|2|372|7|23|109|2023-09-24|2023-09-24
173|Gaspar Bruno|Torres|Toro|24539042-4|Carmen 731|56956040935|2014-01-28|1|373|7|23|109|2023-09-24|2023-09-24
174|Pedro Simón|Navarrete|Torres|24708369-3|Santa Rosa 1687|56911027271|2014-08-23|1|374|7|23|109|2023-09-24|2023-09-24
175|Cristóbal Orlando|Vega|Zúñiga|24643440-9|San Juan 1480|56993739492|2014-06-04|1|375|7|23|109|2023-09-24|2023-09-24
176|Omar Tobías|Peña|Pizarro|24775472-5|Avenida Alcalde Carlos Valdovinos 797|56972356899|2014-11-12|1|401|7|23|109|2023-09-24|2023-09-24
177|Bruno Matías|Rojas|Alvarado|24552561-3|Corte Suprema 116|56947709132|2014-02-14|1|402|7|23|109|2023-09-24|2023-09-24
178|Catalina Yasna|Campos|Salazar|24692587-9|Herboso 1939|56942871595|2014-08-03|2|403|7|23|109|2023-09-24|2023-09-24
179|Jaime Alejandro|Contreras|Pizarro|24631874-3|Los Algarrobos 1241|56910985536|2014-05-21|1|404|7|23|109|2023-09-24|2023-09-24
180|Paola Azul|Vidal|Sepúlveda|24665611-8|General Baquedano 1351|56946960409|2014-07-01|2|405|7|23|109|2023-09-24|2023-09-24
181|Isidoro Julián|Gómez|Escobar|24606432-6|Alcalde Flores 722|56956011669|2014-04-20|1|406|7|23|109|2023-09-24|2023-09-24
182|Tomás Julián|Gómez|Cáceres|24596933-3|Avenida Tupper 1247|56952922096|2014-04-09|1|407|7|23|109|2023-09-24|2023-09-24
183|Juan Íñigo|Garrido|Zúñiga|24697717-8|Chañarcillo 1703|56959617463|2014-08-10|1|408|7|23|109|2023-09-24|2023-09-24
184|Kian Erick|Vargas|Carrasco|24808108-2|Juan Fernández Blanco 1708|56934572511|2014-12-22|1|409|7|23|109|2023-09-24|2023-09-24
185|Diego Bruno|Gutiérrez|Ortiz|24544789-2|Erasmo Escala 310|56928075768|2014-02-04|1|410|7|23|109|2023-09-24|2023-09-24
186|Javiera María|Henríquez|Vargas|24608667-2|Pasaje Espineira 111|56981107338|2014-04-23|2|411|7|23|109|2023-09-24|2023-09-24
187|David Íñigo|Cáceres|Gallardo|24680492-3|Nueva de Valdés 1245|56918106778|2014-07-20|1|412|7|23|109|2023-09-24|2023-09-24
