id|nombre|apellido1|apellido2|rut|direccion|celular|nacimiento|niveleducacionalId|usuarioId|sexoId|regionId|provincixId|comunaId|createdAt|updatedAt
38|Orlando Ricardo|Gallardo|Carvajal|19906610-2|Plaza Manuel Rodríguez 33|+56927033818|1998-08-16|4|138|1|7|23|109|2023-09-24|2023-09-24
39|Almendra Constanza|García|Sepúlveda|16639849-5|Lincoyán Berrios 955|+56922646831|1987-09-23|2|139|2|7|23|109|2023-09-24|2023-09-24
40|Emilia Celia|Navarrete|Miranda|17924523-K|Herrera 1725|+56961634699|1992-01-05|2|140|2|7|23|109|2023-09-24|2023-09-24
41|Íñigo Daniel|Vargas|Vargas|17764575-3|Concha Castillo 1062|+56924573469|1991-06-24|5|141|1|7|23|109|2023-09-24|2023-09-24
42|Roberto Ignacio|González|García|18392071-5|Ricardo Poenisch 862|+56949560916|1993-07-28|3|142|1|7|23|109|2023-09-24|2023-09-24
43|Fernanda Mila|Jara|Cortés|17995342-0|Marcoleta 1715|+56968653000|1992-03-31|2|143|2|7|23|109|2023-09-24|2023-09-24
44|Diana Daniela|Vidal|Cortés|17813801-4|Yarur 563|+56963515483|1991-08-23|3|144|2|7|23|109|2023-09-24|2023-09-24
45|Pedro Rafael|Farias|Rodríguez|19306452-3|Davila Larraín 1516|+56998574127|1996-08-15|2|145|1|7|23|109|2023-09-24|2023-09-24
46|Sebastián Simón|Orellana|Rojas|17466767-5|Gaspar de la Barrera 769|+56953911755|1990-06-26|5|146|1|7|23|109|2023-09-24|2023-09-24
47|Aroha Paulina|Donoso|Gallardo|18594563-4|Almirante Hurtado 1143|+56910048913|1994-03-31|2|147|2|7|23|109|2023-09-24|2023-09-24
48|Belén Luna|Acevedo|Flores|17458397-8|José Ramón Gutierrez 148|+56988364055|1990-06-16|2|148|2|7|23|109|2023-09-24|2023-09-24
49|Constantino Santiago|Torres|Muñoz|18518981-3|Barcelona 1754|+56982466438|1993-12-29|3|149|1|7|23|109|2023-09-24|2023-09-24
50|Vania Martina|Venegas|Alvarado|14996139-9|Manuel Antonio Tocornal 720|+56956781471|1982-03-30|5|150|2|7|23|109|2023-09-24|2023-09-24
51|Matías Joshua|Sandoval|Carvajal|16865746-3|General González Balcarce 161|+56988877495|1988-06-24|5|176|1|7|23|109|2023-09-24|2023-09-24
52|Valentino Íñigo|Valdés|Espinoza|19750883-3|Ñuble 79|+56931769598|1998-02-07|5|177|1|7|23|109|2023-09-24|2023-09-24
53|Celia Katia|Vásquez|Guzmán|15725479-0|Enrique Mac Iver 437|+56969479470|1984-09-04|4|178|2|7|23|109|2023-09-24|2023-09-24
54|Lorenzo Diego|Farias|Alvarado|17466374-2|Doctor Díaz Velasco 166|+56987603141|1990-06-26|2|179|1|7|23|109|2023-09-24|2023-09-24
55|Laura Elisa|Vera|Pizarro|15129945-8|Martínez de Rosas 1001|+56916839899|1982-09-09|4|180|2|7|23|109|2023-09-24|2023-09-24
56|Elías Patricio|Molina|Godoy|18950642-2|Agustín Edwards 902|+56986449434|1995-06-08|2|181|1|7|23|109|2023-09-24|2023-09-24
57|Elías Elías|Ortega|Carrasco|17186627-8|Urzua 519|+56972203598|1989-07-20|5|182|1|7|23|109|2023-09-24|2023-09-24
58|Brian Enrique|Torres|Campos|16474173-7|Placer 1755|+56972713783|1987-03-05|4|183|1|7|23|109|2023-09-24|2023-09-24
59|Luisa Martina|Rivera|Jara|15563040-K|Raulí 1652|+56975446267|1984-02-19|5|184|2|7|23|109|2023-09-24|2023-09-24
60|Matilda Manuela|Carvajal|Peña|19405345-2|Guillermo Marconi 403|+56983005222|1996-12-13|2|185|2|7|23|109|2023-09-24|2023-09-24
61|Lucca Jorge|Guzmán|Pizarro|15705578-K|Plaza Manuel Rodríguez 238|+56981692648|1984-08-10|5|186|1|7|23|109|2023-09-24|2023-09-24
62|Ariadna Macarena|Araya|Carvajal|15756333-5|Pasaje Espineira 1723|+56975877138|1984-10-11|2|187|2|7|23|109|2023-09-24|2023-09-24
63|Leonardo Franco|Muñoz|Figueroa|19470330-9|Calle Abdón Cifuentes 1618|+56941102595|1997-03-02|4|188|1|7|23|109|2023-09-24|2023-09-24
64|Lila Alba|Maldonado|Espinoza|17025388-4|Alamos 572|+56943612709|1989-01-05|5|189|2|7|23|109|2023-09-24|2023-09-24
65|Jorge Thiago|Pino|Cáceres|19182843-7|García Reyes 256|+56987056349|1996-03-17|2|190|1|7|23|109|2023-09-24|2023-09-24
66|Karina Fernanda|Figueroa|Silva|14855180-4|Juan Fernández Blanco 1147|+56931032061|1981-10-09|5|191|2|7|23|109|2023-09-24|2023-09-24
67|Marco Germán|Peña|Parra|19659970-3|Arauco 1278|+56933358795|1997-10-20|5|192|1|7|23|109|2023-09-24|2023-09-24
68|Alejandro Tobías|Hernández|Núñez|17373050-0|Pedro León Ugalde 367|+56925770884|1990-03-04|3|193|1|7|23|109|2023-09-24|2023-09-24
69|Valentino Matías|Salazar|Godoy|18202815-0|Juan Fernández Blanco 230|+56993485966|1992-12-09|4|194|1|7|23|109|2023-09-24|2023-09-24
70|Lorenzo Gaspar|Hernández|Guzmán|17316189-1|La Fetra 1549|+56936040740|1989-12-25|3|195|1|7|23|109|2023-09-24|2023-09-24
71|Iván Sebastián|Flores|Bustos|15693391-0|Pasaje San Alfonso 58|+56926367645|1984-07-27|3|196|1|7|23|109|2023-09-24|2023-09-24
72|Valentino Gabriel|Carvajal|Núñez|17202412-2|Vergara 776|+56928519925|1989-08-08|4|197|1|7|23|109|2023-09-24|2023-09-24
73|Lara Valentina|Pérez|Guzmán|19287861-6|El Arrayan 367|+56973825410|1996-07-23|4|198|2|7|23|109|2023-09-24|2023-09-24
74|Erick Hernán|Ortega|Vera|18628369-4|Pasaje Nueva 2 747|+56940369651|1994-05-12|3|199|1|7|23|109|2023-09-24|2023-09-24
75|Constanza Mireya|Díaz|Ortega|17433951-1|Urzua 1016|+56977273322|1990-05-17|5|200|2|7|23|109|2023-09-24|2023-09-24
76|Elías Simón|Rojas|Farias|16771780-2|Las Acacias 517|+56933831287|1988-03-02|3|226|1|7|23|109|2023-09-24|2023-09-24
77|Joaquín Pedro|Rojas|Godoy|15056575-8|Arzobispo Valenzuela 1906|+56975555851|1982-06-12|5|227|1|7|23|109|2023-09-24|2023-09-24
78|Romina Antonia|Riquelme|Muñoz|18926450-K|Virginia Opazo 1802|+56967174504|1995-05-10|2|228|2|7|23|109|2023-09-24|2023-09-24
79|Kian Jhon|Molina|Sepúlveda|15896166-0|Agustinas 1233|+56968994549|1985-03-31|4|229|1|7|23|109|2023-09-24|2023-09-24
80|Leonardo Damián|Venegas|Rodríguez|16974160-3|Las Acacias 374|+56973925417|1988-11-03|4|230|1|7|23|109|2023-09-24|2023-09-24
81|Ian Lucca|Jara|Acevedo|17783107-7|Bascuñán Guerrero 275|+56938078806|1991-07-17|3|231|1|7|23|109|2023-09-24|2023-09-24
82|Yolanda Aitana|Vera|Navarro|16248981-K|Martínez de Rosas 630|+56925783956|1986-06-04|2|232|2|7|23|109|2023-09-24|2023-09-24
83|Ximena Rosario|Hernández|Medina|16887634-3|Cueto 644|+56976456554|1988-07-21|2|233|2|7|23|109|2023-09-24|2023-09-24
84|Paulo Ignacio|Rivera|Tapia|17634831-3|Ignacio Valdivieso 1973|+56965663909|1991-01-17|2|234|1|7|23|109|2023-09-24|2023-09-24
85|Áxel Jair|Farias|Cárdenas|15723251-7|Ramirez 1890|+56983593829|1984-09-01|5|235|1|7|23|109|2023-09-24|2023-09-24
86|Ainhoa Rosario|Toro|Díaz|17643157-1|Las Encinas 1937|+56960974652|1991-01-27|2|236|2|7|23|109|2023-09-24|2023-09-24
87|Karina Olivia|Flores|Garrido|16018434-5|Chañarcillo 310|+56995873069|1985-08-27|4|237|2|7|23|109|2023-09-24|2023-09-24
88|Isidoro Kevin|Herrera|Salazar|19302725-3|Mensía de los Nidos 784|+56987337493|1996-08-10|5|238|1|7|23|109|2023-09-24|2023-09-24
89|Valentino Orlando|Navarrete|Salinas|18871576-1|Mosqueto 403|+56924674486|1995-03-04|4|239|1|7|23|109|2023-09-24|2023-09-24
90|Gustavo Damián|Sáez|Herrera|17351388-7|Alejandro Acosta 1511|+56946542679|1990-02-06|4|240|1|7|23|109|2023-09-24|2023-09-24
91|Fernando Damián|Acevedo|Tapia|16194865-9|Luis Cousiño 1572|+56918643795|1986-03-30|5|241|1|7|23|109|2023-09-24|2023-09-24
92|Aitana Josefina|Vargas|Torres|18025618-0|Pasaje San Alfonso 902|+56927930127|1992-05-07|2|242|2|7|23|109|2023-09-24|2023-09-24
93|Katia Alejandra|Salazar|Espinoza|19019145-1|Raulí 1856|+56948439018|1995-08-31|5|243|2|7|23|109|2023-09-24|2023-09-24
94|Kevin Francisco|Jiménez|Hernández|17575683-3|Avenida 10 de Julio 300|+56996274145|1990-11-06|3|244|1|7|23|109|2023-09-24|2023-09-24
95|Anaís Débora|Hernández|Álvarez|15402857-9|María Arteaga 372|+56937949356|1983-08-08|2|245|2|7|23|109|2023-09-24|2023-09-24
96|Oliver Simón|Salinas|Olivares|18489835-7|Arturo Prat 213|+56969784117|1993-11-24|4|246|1|7|23|109|2023-09-24|2023-09-24
97|Francisca Alexandra|Zúñiga|Salazar|19619413-4|Pedro De La Barra 951|+56985014140|1997-08-31|5|247|2|7|23|109|2023-09-24|2023-09-24
98|Nerea Josefina|Aravena|Carvajal|17510870-K|Luis Cousiño 468|+56983893295|1990-08-19|2|248|2|7|23|109|2023-09-24|2023-09-24
99|Ignacio Franco|Morales|Reyes|14868569-K|Meiggs 498|+56953046664|1981-10-26|2|249|1|7|23|109|2023-09-24|2023-09-24
100|Salomé Salomé|Carrasco|Hernández|19666851-9|Pasaje Amstrong 617|+56987225510|1997-10-28|4|250|2|7|23|109|2023-09-24|2023-09-24
101|Sebastián Gustavo|Riquelme|Campos|17883092-9|Lord Cochrane 1061|+56920995681|1991-11-16|2|276|1|7|23|109|2023-09-24|2023-09-24
102|Mía Débora|Olivares|Guerrero|14823209-1|Almirante Hurtado 760|+56930403187|1981-08-31|2|277|2|7|23|109|2023-09-24|2023-09-24
103|Dominique Carolina|Cortés|Farias|15058763-8|Dieciocho 268|+56999986572|1982-06-14|2|278|2|7|23|109|2023-09-24|2023-09-24
104|Daniela Amanda|Sepúlveda|Poblete|19288534-5|Coquimbo 1141|+56965404803|1996-07-24|2|279|2|7|23|109|2023-09-24|2023-09-24
105|León Martín|Sepúlveda|Zúñiga|16350143-0|Pasaje La Raza 1975|+56966807942|1986-10-05|2|280|1|7|23|109|2023-09-24|2023-09-24
106|Mila Valentina|Escobar|Alarcón|17926557-5|General Jarpa 1453|+56958703571|1992-01-08|2|281|2|7|23|109|2023-09-24|2023-09-24
107|Vicente Federico|Fernández|Parra|14915783-2|Cóndor 540|+56966305070|1981-12-22|3|282|1|7|23|109|2023-09-24|2023-09-24
108|Sebastián Gael|Garrido|Morales|16912390-K|Madrid 1598|+56988749558|1988-08-20|5|283|1|7|23|109|2023-09-24|2023-09-24
109|Mireya Mía|Valenzuela|Valenzuela|17674275-5|Burdeos 1828|+56966084861|1991-03-06|5|284|2|7|23|109|2023-09-24|2023-09-24
110|Nicolás Federico|Araya|Ruiz|17945414-9|Milán 543|+56982935762|1992-01-31|4|285|1|7|23|109|2023-09-24|2023-09-24
111|Miguel Daniel|Rivera|Sanhueza|14874627-3|Purén Indómito 1779|+56936472416|1981-11-02|4|286|1|7|23|109|2023-09-24|2023-09-24
112|Isaac Fernando|Flores|Medina|19339822-7|Francisco Pizarro 1917|+56995673590|1996-09-24|3|287|1|7|23|109|2023-09-24|2023-09-24
113|Jorge Samuel|Moreno|Vergara|15097591-3|Lincoyán Berrios 1782|+56964900941|1982-08-01|2|288|1|7|23|109|2023-09-24|2023-09-24
114|Germán Carlos|Farias|Ortega|17162082-1|General Baquedano 48|+56978985331|1989-06-20|5|289|1|7|23|109|2023-09-24|2023-09-24
115|Ariadna Anaís|Bustamente|Vera|18907676-2|José Ramón Gutierrez 1046|+56993947252|1995-04-17|4|290|2|7|23|109|2023-09-24|2023-09-24
116|Leonardo Esteban|Saavedra|López|19249743-4|Sepúlveda Leyton 1684|+56994903292|1996-06-07|2|291|1|7|23|109|2023-09-24|2023-09-24
117|Jorge Omar|Araya|Vásquez|19082660-0|Nicanor De La Sotta 500|+56920407114|1995-11-16|4|292|1|7|23|109|2023-09-24|2023-09-24
118|Olivia Daniela|Vidal|Pizarro|17761023-2|Luis Cousiño 1285|+56949913203|1991-06-20|4|293|2|7|23|109|2023-09-24|2023-09-24
119|Martín Roberto|Carvajal|Gutiérrez|17245533-6|Monjitas 523|+56999144752|1989-09-30|4|294|1|7|23|109|2023-09-24|2023-09-24
120|Bautista Joshua|Herrera|Sánchez|18020448-2|Nueva Imperial 787|+56917662174|1992-05-01|3|295|1|7|23|109|2023-09-24|2023-09-24
121|Daniel Juan|Leiva|Sepúlveda|18050293-9|Herboso 501|+56930604969|1992-06-06|5|296|1|7|23|109|2023-09-24|2023-09-24
122|Martín Tobías|Tapia|Peña|18269329-4|Mariluán 1507|+56950860381|1993-02-28|4|297|1|7|23|109|2023-09-24|2023-09-24
123|Mauricio Federico|Muñoz|Castillo|16920846-8|San Martin 631|+56997681989|1988-08-30|4|298|1|7|23|109|2023-09-24|2023-09-24
124|Alejandra Carolina|Díaz|Aguilera|19598832-3|Doctor Díaz Velasco 782|+56915568290|1997-08-06|5|299|2|7|23|109|2023-09-24|2023-09-24
125|Gabriel Lucca|Cáceres|Campos|17963837-1|Raimundo Larraín 1852|+56931879522|1992-02-22|3|300|1|7|23|109|2023-09-24|2023-09-24
126|Luisa Alexandra|Cáceres|Flores|17115494-4|Angamos 689|+56930970892|1989-04-24|3|326|2|7|23|109|2023-09-24|2023-09-24
127|Josefina Renata|Orellana|Álvarez|18947018-5|Santa María 519|+56920639698|1995-06-04|2|327|2|7|23|109|2023-09-24|2023-09-24
128|Dominique Belén|Sandoval|Bustos|16214842-7|Marcoleta 1880|+56926019881|1986-04-23|5|328|2|7|23|109|2023-09-24|2023-09-24
129|Germán Benjamín|Leiva|Hernández|19447950-6|Mariluán 1773|+56953707770|1997-02-03|3|329|1|7|23|109|2023-09-24|2023-09-24
130|Valentina Camila|Gutiérrez|Vega|17069405-8|Agustinas 1725|+56960020594|1989-02-27|2|330|2|7|23|109|2023-09-24|2023-09-24
131|Nerea Nicole|Acuña|Pérez|17933405-4|Sierra Bella 1274|+56971716312|1992-01-16|5|331|2|7|23|109|2023-09-24|2023-09-24
132|Joshua Miguel|Bravo|Herrera|16272217-4|Guacolda 1531|+56926998679|1986-07-02|3|332|1|7|23|109|2023-09-24|2023-09-24
133|Eduardo Leonardo|Riquelme|Saavedra|14629986-5|Centenario 985|+56933629966|1981-01-08|4|333|1|7|23|109|2023-09-24|2023-09-24
134|Mía Julieta|Rivera|Sánchez|17413039-6|Obispo Edwards 287|+56944395566|1990-04-22|2|334|2|7|23|109|2023-09-24|2023-09-24
135|Verónica Blanca|Vásquez|Álvarez|14720677-1|Arturo Calvo 194|+56966920984|1981-04-28|4|335|2|7|23|109|2023-09-24|2023-09-24
136|Xander Jairo|Zúñiga|Bustos|15770168-1|Herrera 1597|+56938233096|1984-10-28|5|336|1|7|23|109|2023-09-24|2023-09-24
137|Laura Claudia|Ramírez|García|18232162-1|Mapocho 285|+56979490650|1993-01-14|5|337|2|7|23|109|2023-09-24|2023-09-24
138|Isaac Julián|Saavedra|Vergara|15827634-8|Romero 1087|+56926256927|1985-01-06|2|338|1|7|23|109|2023-09-24|2023-09-24
139|Isabella Magdalena|López|Lagos|15463873-3|Pasaje Bacuñan Guerrero 1154|+56943047420|1983-10-21|5|339|2|7|23|109|2023-09-24|2023-09-24
140|Germán Benjamín|Fuentes|Toro|15813892-1|Aconcagua 1369|+56990764531|1984-12-20|3|340|1|7|23|109|2023-09-24|2023-09-24
141|Blanca Sofía|Martínez|Gallardo|14705966-3|Manuel Antonio Tocomal 1011|+56966256360|1981-04-11|4|341|2|7|23|109|2023-09-24|2023-09-24
142|Jairo Vicente|Carrasco|Poblete|16635279-7|Yarur 1293|+56977775627|1987-09-17|4|342|1|7|23|109|2023-09-24|2023-09-24
143|Franco Pedro|Leiva|Vergara|17891628-9|Aconcagua 1232|+56990592914|1991-11-26|5|343|1|7|23|109|2023-09-24|2023-09-24
144|Gustavo Pedro|Gutiérrez|Aguilera|17970527-3|Pasaje 4 1746|+56921322777|1992-03-01|2|344|1|7|23|109|2023-09-24|2023-09-24
145|Aroha Sofía|Vergara|Hernández|15215779-7|Pasaje Malaquita 630|+56941232296|1982-12-23|2|345|2|7|23|109|2023-09-24|2023-09-24
146|María Karina|Lagos|Jara|17835000-5|Santa Isabel 902|+56927426349|1991-09-18|2|346|2|7|23|109|2023-09-24|2023-09-24
147|Anaís Carolina|Campos|Pino|16323643-5|Manuel Valenzuela 149|+56959570644|1986-09-03|4|347|2|7|23|109|2023-09-24|2023-09-24
148|Elisa Nicole|Escobar|Morales|14968498-0|Zenteno 1572|+56932056990|1982-02-24|2|348|2|7|23|109|2023-09-24|2023-09-24
149|Natalia Matilda|Moreno|Silva|16952343-6|San Isidro 406|+56932424965|1988-10-08|4|349|2|7|23|109|2023-09-24|2023-09-24
150|Marcelo Rubén|Álvarez|Martínez|16473767-5|Sierra Bella 1535|+56951620255|1987-03-04|3|350|1|7|23|109|2023-09-24|2023-09-24
151|Ainhoa Jimena|Henríquez|Sanhueza|14845299-7|Lincoln 1749|+56933115739|1981-09-27|4|376|2|7|23|109|2023-09-24|2023-09-24
152|Roberto Julián|Rivera|Garrido|16685137-8|Centenario 1288|+56924000492|1987-11-17|3|377|1|7|23|109|2023-09-24|2023-09-24
153|Valeria Emilia|Ramírez|Vidal|17344005-7|Pasaje La Raza 692|+56949361501|1990-01-28|3|378|2|7|23|109|2023-09-24|2023-09-24
154|Paulo Tobías|Díaz|Valenzuela|15664799-3|Príncipe de Gales 1307|+56981145376|1984-06-22|5|379|1|7|23|109|2023-09-24|2023-09-24
155|Gabriela Renata|Bustamente|Riquelme|17871308-6|Marcoleta 1421|+56921164347|1991-11-01|3|380|2|7|23|109|2023-09-24|2023-09-24
156|Santiago Elías|Maldonado|Navarrete|16312293-6|Santiaguillo 1963|+56994625152|1986-08-20|3|381|1|7|23|109|2023-09-24|2023-09-24
157|Ignacio Thiago|Guerrero|Riquelme|18898711-7|Perez Freire 1553|+56994063115|1995-04-06|2|382|1|7|23|109|2023-09-24|2023-09-24
158|Franco Miguel|Cárdenas|Donoso|18077448-3|Sierra Bella 532|+56958133253|1992-07-09|2|383|1|7|23|109|2023-09-24|2023-09-24
159|Catalina Martina|Poblete|Pino|17503726-8|Pasaje Avellanos 1853|+56997337042|1990-08-10|5|384|2|7|23|109|2023-09-24|2023-09-24
160|Ignacio Sebastián|Molina|Carrasco|18295821-2|Delirio 477|+56933812972|1993-04-01|2|385|1|7|23|109|2023-09-24|2023-09-24
161|María Layla|Henríquez|López|16214538-K|Atacama 1775|+56910616218|1986-04-23|4|386|2|7|23|109|2023-09-24|2023-09-24
162|Elisa Amelia|Valdés|Araya|18925973-5|Santa Elvira 1123|+56977342833|1995-05-09|4|387|2|7|23|109|2023-09-24|2023-09-24
163|Kevin Rafael|Salinas|Vásquez|14906118-5|Santa Ana 326|+56954211690|1981-12-10|2|388|1|7|23|109|2023-09-24|2023-09-24
164|Aroha Luciana|Sepúlveda|Gallardo|16379654-6|Davila Larraín 495|+56935273204|1986-11-10|4|389|2|7|23|109|2023-09-24|2023-09-24
165|Nicolás Francisco|Sánchez|Sáez|15655531-2|Calle Echaurren 383|+56928627649|1984-06-11|4|390|1|7|23|109|2023-09-24|2023-09-24
166|Camila Emma|Parra|Álvarez|18198844-4|Pedro Montt 1608|+56912954856|1992-12-04|3|391|2|7|23|109|2023-09-24|2023-09-24
167|Jairo Cristóbal|Bustos|Donoso|17459782-0|Echaurren 358|+56938595180|1990-06-18|3|392|1|7|23|109|2023-09-24|2023-09-24
168|Paulina Mía|Zúñiga|Soto|17973471-0|Domeyko 206|+56918558650|1992-03-05|4|393|2|7|23|109|2023-09-24|2023-09-24
169|Jimena Brisa|Carrasco|Molina|18474036-2|San Francisco 1329|+56934419623|1993-11-05|4|394|2|7|23|109|2023-09-24|2023-09-24
170|Josefina Laura|Aguilera|Godoy|14753709-3|Pasaje 2 1906|+56983599038|1981-06-08|4|395|2|7|23|109|2023-09-24|2023-09-24
171|Sol Rosario|Jara|Lagos|16522488-4|Plaza de Armas 1963|+56992660937|1987-05-03|2|396|2|7|23|109|2023-09-24|2023-09-24
172|Alejandro Vicente|Sáez|Miranda|18300049-7|Curicó 1607|+56982621590|1993-04-07|5|397|1|7|23|109|2023-09-24|2023-09-24
173|Luisa Antonia|Toro|Bustamente|17618390-K|Cueto 1841|+56996541639|1990-12-28|4|398|2|7|23|109|2023-09-24|2023-09-24
174|Dominique Diana|Torres|Farias|15801921-3|Doctor Sotero del Río 955|+56917095231|1984-12-06|4|399|2|7|23|109|2023-09-24|2023-09-24
175|Gabriela Almendra|Zúñiga|Muñoz|16925912-7|Madrid 810|+56924143184|1988-09-05|5|400|2|7|23|109|2023-09-24|2023-09-24
176|Maximiliano Francisco|Peña|Sepúlveda|18499179-9|Máximo Humbser 584|+56969434493|1993-12-05|4|426|1|7|23|109|2023-09-24|2023-09-24
177|Thiago Orlando|Rojas|Bustos|18720443-7|Mario Kreutzberger 1928|+56952083757|1994-09-01|2|427|1|7|23|109|2023-09-24|2023-09-24
178|Violeta Esmeralda|Salazar|Maldonado|14601879-3|Meiggs 1159|+56983557861|1980-12-05|3|428|2|7|23|109|2023-09-24|2023-09-24
179|Ximena Amanda|Pizarro|Díaz|17125450-7|Pasaje Las Quedereguas 1378|+56939036049|1989-05-06|2|429|2|7|23|109|2023-09-24|2023-09-24
